model;spearmans;mse;accuracy;sim_wp;sim_lc;sim_jc_sanchez;sim_jc_seco;sim_lin_sanchez;sim_lin_seco
itdl-au;0,459439871;0,314158669;0,696202532;0,384082692;0,384082692;0,213841125;0,151806472;0,161538599;0,162150933
itdl-au;0,443231084;0,315437173;0,696202532;0,386224777;0,386224777;0,217396239;0,148340846;0,160216694;0,158190428
itdl-au;0,45142139;0,314031082;0,708860759;0,388046106;0,388046106;0,214724978;0,149687124;0,15800854;0,159677022
itdl-au;0,471028485;0,305572058;0,708860759;0,388614086;0,388614086;0,216030795;0,151701405;0,158564891;0,159055141
itdl-au;0,49487392;0,293140547;0,696202532;0,38476833;0,38476833;0,215124221;0,149613054;0,157653047;0,160429808
itdl-au;0,518318431;0,281125917;0,734177215;0,387039921;0,387039921;0,216504347;0,151984457;0,158426693;0,159169072
itdl-au;0,534336302;0,274476273;0,746835443;0,386383814;0,386383814;0,215182554;0,151403127;0,159741684;0,159254069
itdl-au;0,420244772;0,33702237;0,620253165;0,379399456;0,379399456;0,216022816;0,156790559;0,160963327;0,16026152
itdl-au;0,409534372;0,334175356;0,620253165;0,387286764;0,387286764;0,213348477;0,158599176;0,166111412;0,165042756
itdl-au;0,410641686;0,329933245;0,582278481;0,381496185;0,381496185;0,212281976;0,157370338;0,16250034;0,164662297
itdl-au;0,40962983;0,326424512;0,607594937;0,379330029;0,379330029;0,211330536;0,154390616;0,161124748;0,161287446
itdl-au;0,419423832;0,324571663;0,620253165;0,381122681;0,381122681;0,21260004;0,152265254;0,163333354;0,161573024
itdl-au;0,413581796;0,325901786;0,607594937;0,379485332;0,379485332;0,209775896;0,155951279;0,157954901;0,160179953
itdl-au;0,428454169;0,312087924;0,632911392;0,384012037;0,384012037;0,214646909;0,156237068;0,158062139;0,159731747
itdl-au;0,456499761;0,306930097;0,632911392;0,387471601;0,387471601;0,210983625;0,15626433;0,159623574;0,163071286
itdl-au;0,437694514;0,306760219;0,569620253;0,383882869;0,383882869;0,212133594;0,154804378;0,163513136;0,161367336
itdl-au;0,493098399;0,286223082;0,64556962;0,378889785;0,378889785;0,211725289;0,155334824;0,164794402;0,162413321
itdl-au;0,512037288;0,277350799;0,64556962;0,390057907;0,390057907;0,215798329;0,160357775;0,170750473;0,16847916
itdl-au;0,428320528;0,335061402;0,620253165;0,375278815;0,375278815;0,209081328;0,152160347;0,153773548;0,157655759
itdl-au;0,431623378;0,33570685;0,64556962;0,378809176;0,378809176;0,209500718;0,147949919;0,150943718;0,154615779
itdl-au;0,425571334;0,332074824;0,658227848;0,376095064;0,376095064;0,213629353;0,149680182;0,157943814;0,157829782
itdl-au;0,42599135;0,331446047;0,632911392;0,374065418;0,374065418;0,212573899;0,14901198;0,153288088;0,152906983
itdl-au;0,432654326;0,326291735;0,64556962;0,370185156;0,370185156;0,206843474;0,144745248;0,146641572;0,150740866
itdl-au;0,445808453;0,32200005;0,620253165;0,373992032;0,373992032;0,20868959;0,143850263;0,150797026;0,152164604
itdl-au;0,458981672;0,314666554;0,658227848;0,371590968;0,371590968;0,21142569;0,144238182;0,150944327;0,150873526
itdl-au;0,453101452;0,31325026;0,620253165;0,370118776;0,370118776;0,210062698;0,14664162;0,153613803;0,153586069
itdl-au;0,457129784;0,305626258;0,64556962;0,378091963;0,378091963;0,208978035;0,149611166;0,153126116;0,15733044
